Label,cssSelector,tagName,group,relation,extraInfo
fontSizeText,"[data-tid=""settings-accessibilty-fontsize""]",p,,,
fontSizeValue,"[data-tid=""text-fontSizeType""]",p,,,
fontSizeDec,"[data-tid=""settings-accessibilty-fontsize-previous""] ",button,,,
fontSizeInc,"[data-tid=""settings-accessibilty-fontsize-next""] ",button,,,
lineSpaceText,"[data-tid=""settings-accessibilty-linespace""]",p,,,
lineSpaceValue,"[data-tid=""text-lineSpaceType""]",p,,,
lineSpaceDec,"[data-tid=""settings-accessibilty-lineSpace-previous""]",button,,,
lineSpaceInc,"[data-tid=""settings-accessibilty-lineSpace-next""]",button,,,
highContrastText,"[data-tid=""high_contrast""]",p,,,
highContrastToggleBtn,"[data-tid=""input-high_contrast""]",button,,,
dylexicFontText,"[data-tid=""dylexic-font""]",p,,,
dylexicFontToggleBtn,"[data-tid=""input-dylexic-font""]",button,,,
underlinelinksText,"[data-tid=""underline_links""]",p,,,
underlinelinksToggleBtn,"[data-tid=""input-underline_links""]",button,,,
previewTextHeading,"[data-tid=""text-previewHeading""]",h6,,,
previewTextPara,"[data-tid=""text-previewPara""]",p,,,
previewLinkText,"[data-tid=""setting-preview-link""]",a,,,
button1,"[data-tid=""setting-preview-button""]",button,,,
button2,"[data-tid=""button-accessbility""]",button,,,
moreDetailsBtn,"[data-tid=""accessibilty-link""]",button,,,
resetButton,"[data-tid=""reset-button""]",button,,,
brandLogo_img,[data-tid='image-brandlogo'],img,,,isInitilized
