Label,cssSelector,tagName,group,relation,extraInfo,returnValue,teacherAppLangEN,studentAppLangEN
pageTitle,[data-tid='text-pageTitle'],p,gradeBookStudentView,,,,"""Gradebook""",
pageSubTitle,[data-tid='text-pageSubTitle'],p,gradeBookStudentView,,,,"""Class Dates: """,
download_btn,[data-tid=button-downloadGradebook],button,gradeBookStudentView,,,,"""Download""",
graphHeader,[data-tid=title-graph],p,gradeBookStudentView,,,,"""Average Score and Average Completion""",
sendtoemail_btn,[data-tid=button-sendToEmail],button,gradeBookStudentView,,,,"""Send to email""",
productListName,[data-tid*=button-product-,p,productList,parent,pattern,,,
totalTimeSpent_lbl,[data-tid='text-time-spent'],p,gradeBookStudentView,,,,"""Total Time Spent: """,
score_lbl,[data-tid='text-card-heading-card0'],p,gradeBookStudentView,,,,"""Score""",
scoreChart_icon,#doughnutCanvas-card0,img,gradeBookStudentView,,,,,
completionChart_icon,#doughnutCanvas-card1,img,gradeBookStudentView,,,,,
completion_lbl,[data-tid='text-card-heading-card1'],p,gradeBookStudentView,,,,"""Completion""",
classAnalyticsCompletion_lbl,[data-tid=label-class-analytics],p,gradeBookStudentView,,,,"""Class Average""",
classAnalyticsScore_lbl,,p,gradeBookStudentView,,,,"""Class Average""",
lesson_title,[data-tid='text-title-lessons'],p,gradeBookStudentView,,,,"""Lessons""",
lesson_Subtitle,[data-tid='text-subtitle-lessons'],p,gradeBookStudentView,,,,"""Select a lesson to view activity scores and progress""",
lessons_Title_lbl,[data-tid*=label-unit-title-,p,UnitDetails,parent,pattern,,,
score_icon,[data-tid*=analytics-unit-icon-score-,p,UnitDetails,,pattern,,,
score_Unit_lbl,[data-tid*=analytics-unit-value-score-,p,UnitDetails,,pattern,,"""Score""",
completion_icon,[data-tid*=analytics-unit-icon-completion-,img,UnitDetails,,pattern,,,
completion_Unit_lbl,[data-tid*=analytics-unit-value-completion-,p,UnitDetails,,pattern,,"""Completion""",
totalTime_icon,[data-tid*=analytics-unit-icon-totalTime-,img,UnitDetails,,pattern,,,
totalTime_lbl,[data-tid*=analytics-unit-value-totalTime-,p,UnitDetails,,pattern,,"""Total Time""",
nonScorableChip,[data-tid*=chip-gradingPill-,p,UnitDetails,,pattern,,"""Non Scorable""",
activityCount_icon,[data-tid*=icon-activity-count-,img,UnitDetails,,pattern,,,
activityCount_lbl,[data-tid*=text-activity-count-,p,UnitDetails,,pattern,,"""Activity""",
CompletionCount,[data-tid*=text-completion-count-,p,UnitDetails,,pattern,,"""completed""",
showHideActivities_btn,[data-tid*=button-show-hide-,button,UnitDetails,,pattern,showActivity,"""Show Activities""",
collapsibleActivityLbl,[data-tid*=label-activity-,p,showActivity_labels,parent,pattern,,"""Activity""",
collapsibleScoreLbl,[data-tid*=label-score-,p,showActivity_labels,,pattern,,"""Score""",
collapsibleAttemptsLbl,[data-tid*=label-attempts-,p,showActivity_labels,,pattern,,"""Attempts""",
collapsibleTimeSpentLbl,[data-tid*=label-timeSpent-,p,showActivity_labels,,pattern,,"""Time Spent""",
activityName,[data-tid*=text-activity-name-,p,activityDetails,parent,pattern,,,
moreOption,[data-tid*=button-moreOptions-,button,activityDetails,,pattern,moreOption,,
gradePill,[data-tid*=chip-gradingPill-,p,activityDetails,,pattern,,,
viewAttempt_btn,[data-tid=button-view-activity],button,moreOption,,,,"""View Attempt""",
gradeAttempt_btn,[data-tid=button-grade-activity],button,moreOption,,,,"""Grade Attempt""",
